timestamp,number,xi,angle1,angle2,angle3,calibration,Title
1685808784.0,3.0,37.849934,79.90717502,74.86517507,77.19462666,28994.0,30m Training (2023-06-03)
1685809254.0,1.0,35.91704,86.0351076,69.11419714,83.87163616,28994.0,30m Training (2023-06-03)
1685809280.0,2.0,34.774345,84.86942497,69.77878235,87.64684361,28994.0,30m Training (2023-06-03)
1685809303.0,3.0,35.524345,88.15484518,76.97152835,86.56176468,28994.0,30m Training (2023-06-03)
1685809325.0,4.0,32.028954,86.77351269,75.89453958,75.70111476,28994.0,30m Training (2023-06-03)
1685809857.0,5.0,45.799942,114.1583857,79.30246963,58.04829655,28994.0,30m Training (2023-06-03)
1685809894.0,6.0,37.46322,93.66602308,67.91037844,76.01279234,28994.0,30m Training (2023-06-03)
1685809912.0,7.0,38.782402,92.68976602,80.09118614,63.62899142,28994.0,30m Training (2023-06-03)
1685809935.0,8.0,39.6819,93.27293966,77.49636342,81.3822434,28994.0,30m Training (2023-06-03)
1685810487.0,1.0,43.03112,98.94483222,71.88130827,80.35949655,28994.0,20m Training (2023-06-03)
1685810527.0,2.0,32.744587,147.7731263,84.2426779,38.94132865,28994.0,20m Training (2023-06-03)
1685810616.0,3.0,39.026386,83.06786805,82.67860625,78.14537563,28994.0,20m Training (2023-06-03)
1685810642.0,4.0,37.798542,96.27241955,73.98019592,76.11552367,28994.0,20m Training (2023-06-03)
1685811953.0,5.0,24.925669,94.78229383,73.09764611,51.51855439,28994.0,20m Training (2023-06-03)
1685812023.0,6.0,35.919964,159.8615045,51.91383224,15.79145595,28994.0,20m Training (2023-06-03)
1685812044.0,7.0,37.05535,116.919435,74.99518492,53.65051316,28994.0,20m Training (2023-06-03)
1685812078.0,8.0,33.32776,94.92084649,77.67300058,87.23806687,28994.0,20m Training (2023-06-03)
1685812516.0,9.0,40.916737,103.0276607,76.92164091,180.0662309,28994.0,20m Training (2023-06-03)
1685812913.0,10.0,42.78387,92.01231218,71.98145557,210.9519333,28994.0,20m Training (2023-06-03)
1685812942.0,11.0,46.360336,98.99992211,73.17884568,201.5063975,28994.0,20m Training (2023-06-03)
1685813319.0,12.0,49.988632,67.8303878,74.00447214,213.8094973,28994.0,20m Training (2023-06-03)
1685813345.0,13.0,47.194447,86.88781204,73.61411026,213.1757086,28994.0,20m Training (2023-06-03)
1685813375.0,14.0,43.360023,83.09280317,73.80764395,218.0303227,28994.0,20m Training (2023-06-03)
1685813404.0,15.0,43.553303,59.37018467,74.10337038,232.0489384,28994.0,20m Training (2023-06-03)
1685813600.0,16.0,45.541096,97.10254945,71.21680328,202.4037239,28994.0,20m Training (2023-06-03)
1685813627.0,17.0,48.182117,120.3103081,67.9404358,166.2246477,28994.0,20m Training (2023-06-03)
1685813656.0,18.0,47.715862,108.5139092,69.1872951,187.4753429,28994.0,20m Training (2023-06-03)
1685813678.0,19.0,48.376415,83.23064535,71.54385332,211.1384998,28994.0,20m Training (2023-06-03)
1685813847.0,20.0,47.501423,88.01634409,72.46288335,210.3328753,28994.0,20m Training (2023-06-03)
1685813870.0,21.0,46.827972,86.18340054,74.67595576,212.1877746,28994.0,20m Training (2023-06-03)
1685813897.0,22.0,45.5021,88.40472926,72.12908387,208.7753068,28994.0,20m Training (2023-06-03)
1685813929.0,23.0,45.640438,89.83730137,72.83322608,207.4688771,28994.0,20m Training (2023-06-03)
1685814236.0,24.0,49.54278,93.09432006,73.63697128,206.0729399,28994.0,20m Training (2023-06-03)
1685814268.0,25.0,40.74044,84.66450661,73.96144874,214.0264249,28994.0,20m Training (2023-06-03)
1685814305.0,26.0,47.227707,89.91204371,74.4959496,210.0805791,28994.0,20m Training (2023-06-03)
1685814334.0,27.0,48.30547,91.4841425,73.63841513,206.1524148,28994.0,20m Training (2023-06-03)
