Title,Date,Standard round,Indoor,Bow,Arrow,Round,Distance,Target,End,Timestamp,Points,Arrow numbers,x,y
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),6.0,11:53:18,9.0,1.0,0.13275862,-0.08620691
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),6.0,11:53:18,7.0,1.0,0.30517244,0.23103452
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),6.0,11:53:18,7.0,1.0,-0.18229556,-0.33103442
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),7.0,11:58:18,9.0,1.0,0.11896551,0.11206913
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),7.0,11:58:18,8.0,1.0,0.29137933,0.015517235
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),7.0,11:58:18,7.0,1.0,0.29137933,0.14137936
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),7.0,11:58:18,8.0,1.0,0.05000007,-0.30172396
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),8.0,12:08:24,9.0,1.0,-0.125862,0.14137936
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),8.0,12:08:24,10.0,1.0,0.027586222,-0.07241368
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),8.0,12:08:24,9.0,1.0,0.08448279,-0.08620691
20m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,20m,WA Full (122cm),8.0,12:08:24,9.0,1.0,0.1310345,-0.11896539
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,30m,WA Full (122cm),1.0,12:18:57,8.0,1.0,0.24137938,0.037931204
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,30m,WA Full (122cm),1.0,12:18:57,8.0,1.0,0.25172412,0.03103447
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,30m,WA Full (122cm),1.0,12:18:57,7.0,1.0,0.20000005,-0.23620677
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,1.0,30m,WA Full (122cm),1.0,12:18:57,7.0,1.0,0.35862076,-0.12758613
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),1.0,12:33:53,7.0,1.0,0.31206906,0.0448277
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),1.0,12:33:53,7.0,1.0,0.35689664,0.09482765
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),1.0,12:33:53,6.0,1.0,0.4413793,0.07586217
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),1.0,12:33:53,9.0,1.0,-0.19160283,-0.034482718
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),2.0,12:38:57,5.0,1.0,0.524138,0.010344982
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),2.0,12:38:57,5.0,1.0,0.53620696,-0.091379166
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),2.0,12:38:57,7.0,1.0,0.15517247,-0.3568964
30m Training (2023-05-28),2023-05-28,Practice,Outdoor,LM Recurve 2022,1300 orange,2.0,30m,WA Full (122cm),2.0,12:38:57,4.0,1.0,-0.4060344,0.50344825
